#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
EM|MIF45|45.536999|-85.030998|338.4|Mackinaw Forest, MI, USA|2013-08-14T16:52:19.0000|2013-08-21T18:16:00.0000
EM|MIF46|45.450001|-84.139|206.3|Ocqueoc Creek, MI, USA|2013-08-15T21:42:49.0000|2013-08-21T19:09:46.0000
EM|MIF47|45.326|-83.614998|203.2|Black Lake Forest, MI, USA|2013-08-15T15:53:49.0000|2013-08-21T17:17:27.0000
EM|MIG45|44.827999|-85.293999|187.2|Round Lake, MI, USA|2013-08-13T17:49:22.0000|2013-08-27T15:18:59.0000
EM|MIG46|44.842999|-84.473|365.9|Jackpines Plains, MI, USA|2013-08-07T16:05:33.0000|2013-08-19T14:15:10.0000
EM|MIG47|44.598|-83.575996|234.9|McGills Creek, MI, USA|2013-07-22T14:49:21.0000|2013-08-17T17:56:23.0000
EM|MIH45|44.192001|-85.653999|362.6|Dowling Creek, MI, USA|2013-09-04T15:30:26.0000|2013-09-23T19:31:42.0000
EM|MIH46|44.191002|-84.821999|346.5|Roscommon Forest, MI, USA|2013-08-05T20:42:00.0000|2013-08-17T19:24:58.0000
EM|MIH47|44.083|-83.891998|205.5|Tyler Plains, MI, USA|2013-08-05T15:05:07.0000|2013-08-17T16:18:34.0000
EM|MIH48|44.001999|-83.066002|174.2|Saginaw Bay, MI, USA|2013-08-23T16:30:33.0000|2013-08-31T16:01:33.0000
EM|MII45|43.555|-85.882004|243.6|White River, MI, USA|2013-07-25T20:04:20.0000|2013-08-12T14:54:32.0000
EM|MII46|43.577999|-85.043999|302.6|Pony Creek, MI, USA|2013-08-20T17:45:16.0000|2013-08-26T19:03:32.0000
EM|MII47|43.453999|-84.183998|191.0|Nelson Run, MI, USA|2013-08-19T15:39:22.0000|2013-09-08T13:41:16.0000
EM|MII48|43.525002|-83.280998|206.6|Deford SGA, MI, USA|2013-08-03T15:11:02.0000|2013-08-10T18:31:14.0000
EM|MII49|43.436001|-82.583|195.8|Herron Creek, MI, USA|2013-08-18T16:59:18.0000|2013-08-31T13:37:24.0000
EM|MIJ45|43.139999|-86.281998|193.5|Hoffmaster State Park, MI, USA|2013-08-25T17:37:32.0000|2013-09-14T15:45:35.0000
EM|MIJ46|43.029999|-85.477997|254.9|Egypt Creek, MI, USA|2013-08-02T15:56:31.0000|2013-08-10T13:48:45.0000
EM|MIJ47|42.820999|-84.403|250.8|Rose Lake, MI, USA|2013-08-01T19:08:45.0000|2013-08-09T19:34:26.0000
EM|MIJ48|42.827|-83.527|310.0|Holly Park, MI, USA|2013-08-29T15:50:15.0000|2013-09-24T15:14:49.0000
EM|MIJ49|42.77|-82.939003|208.9|Wolcott Mill, MI, USA|2013-08-15T18:06:52.0000|2013-08-20T14:14:55.0000
EM|MIK46|42.341999|-85.811996|234.8|North Lake, MI, USA|2013-08-28T15:28:20.0000|2013-09-09T13:12:42.0000
EM|MIK47|42.168999|-84.797997|296.5|Kalamazoo River, MI, USA|2013-08-27T15:18:19.0000|2013-09-22T17:19:45.0000
EM|MIK48|42.126999|-84.033997|280.6|Two Creeks, MI, USA|2013-08-28T16:29:14.0000|2013-09-02T17:33:27.0000
EM|MIK49|42.02|-83.220001|179.6|Pointe Mouillee, MI, USA|2013-07-31T20:48:30.0000|2013-08-09T16:14:31.0000
EM|MNB32|48.458|-96.34|334.7|East Park, MN, USA|2017-08-03T20:57:52.0000|2017-09-05T17:49:05.0000
EM|MNB33|48.381|-95.505|370.1|Moose River, MN, USA|2012-06-26T17:24:02.0000|2012-07-19T15:10:39.0000
EM|MNB34|48.468|-94.496|349.4|Pine Island Forest, MN, USA|2012-06-25T16:58:16.0000|2012-07-14T20:28:08.0000
EM|MNB35|48.324|-93.467|351.3|Little Fork River, MN, USA|2012-06-22T20:48:33.0000|2012-07-16T13:55:40.0000
EM|MNB36|48.272|-92.709|417.0|Long Lake, MN, USA|2012-06-23T17:30:25.0000|2012-07-13T17:14:33.0000
EM|MNC32|47.877|-96.411|277.4|Red Lake River, MN, USA|2017-08-09T19:51:28.0000|2017-08-27T15:23:21.0000
EM|MNC33|47.717|-95.822|372.6|Enerson Lake, MN, USA|2012-06-30T17:04:06.0000|2012-07-19T17:55:11.0000
EM|MNC34|47.789|-94.769|399.8|Darrigans Creek, MN, USA|2012-07-03T16:27:47.0000|2012-07-19T20:11:27.0000
EM|MNC35|47.814|-93.775|402.5|Big Fork Forest, MN, USA|2012-07-03T21:46:14.0000|2012-08-02T21:33:28.0000
EM|MNC36|47.772|-92.887|385.2|Sturgeon River, MN, USA|2012-06-18T16:23:18.0000|2012-07-13T20:25:07.0000
EM|MNC37|47.826|-91.988|466.0|Purvis Lake, MN, USA|2012-06-19T16:25:56.0000|2012-07-13T14:17:47.0000
EM|MNC38|47.769|-91.062|534.9|Coffee Lake, MN, USA|2012-06-21T15:22:04.0000|2012-07-12T18:28:19.0000
EM|MNC39|47.842|-90.142|458.5|Kadunee River, MN, USA|2012-06-21T22:52:53.0000|2012-07-12T15:28:03.0000
EM|MND32|47.221001|-96.633003|264.8|Red River Valley, MN, USA|2018-07-21T19:12:42.0000|2018-08-04T19:49:12.0000
EM|MND33|47.23|-95.897|380.1|Santwire Lake, MN, USA|2012-07-02T21:09:38.0000|2012-07-20T14:58:07.0000
EM|MND34|47.249|-95.039|445.8|Beauty Lake, MN, USA|2012-07-01T19:47:42.0000|2012-07-18T19:23:01.0000
EM|MND35|47.154999|-93.932999|440.6|Tidd Lake, MN, USA|2011-09-15T21:09:51.0000|2011-10-25T20:03:10.0000
EM|MND36|47.210999|-93.125999|446.9|Cropless Lake, MN, USA|2011-09-15T16:05:13.0000|2011-10-26T14:32:15.0000
EM|MND37|47.148998|-92.292999|440.8|Bug Creek, MN, USA|2011-09-14T16:52:50.0000|2011-10-26T16:40:40.0000
EM|MND38|47.165001|-91.439003|223.4|Silver Creek, MN, USA|2011-10-03T20:08:42.0000|2011-11-01T15:47:03.0000
EM|MNE33|46.428|-96.024|390.0|Long Branch Creek, MN, USA|2012-07-20T20:17:55.0000|2012-08-03T19:42:12.0000
EM|MNE34|46.659|-95.14|433.6|Blue Creek, MN, USA|2012-06-29T17:08:38.0000|2012-07-18T17:23:36.0000
EM|MNE35|46.580002|-94.336998|385.1|Loon Lake, MN, USA|2011-09-17T16:24:33.0000|2011-10-25T18:05:18.0000
EM|MNE36|46.493999|-93.429001|384.7|Rice Lake, MN, USA|2011-09-16T16:54:17.0000|2011-11-01T18:42:18.0000
EM|MNE37|46.563999|-92.505997|341.6|Bear Lake, MN, USA|2011-09-13T15:11:51.0000|2011-10-12T14:16:23.0000
EM|MNF33|45.851|-96.088|337.0|Blakesley Lake, MN, USA|2012-07-05T22:43:11.0000|2012-07-17T19:56:00.0000
EM|MNF34|45.985|-95.176|408.9|Long Prairie River, MN, USA|2012-07-05T16:56:16.0000|2012-08-04T15:25:45.0000
EM|MNF35|45.832001|-94.690002|415.7|Buckhead Lake, MN, USA|2011-10-10T20:31:37.0000|2011-10-24T00:50:02.0000
EM|MNF35|45.825|-94.696|415.6|Buckhead Lake, MN, USA|2012-05-04T19:12:45.0000|2012-06-04T20:11:57.0000
EM|MNF36|45.905998|-93.560997|364.7|Rum River, MN, USA|2011-09-19T15:32:15.0000|2011-10-24T15:49:23.0000
EM|MNG33|45.328|-96.358|331.4|Long Tom Lake, MN, USA|2012-07-06T19:52:09.0000|2012-07-21T15:05:20.0000
EM|MNG34|45.291|-95.404|331.6|Hollerberg Lake, MN, USA|2012-07-07T18:02:09.0000|2012-07-21T16:53:12.0000
EM|MNG35|45.243999|-94.525002|335.8|Tyrone Prairie, MN, USA|2011-09-26T19:07:20.0000|2011-10-21T17:08:05.0000
EM|MNG36|45.239|-93.739|296.5|Pelican Lake, MN, USA|2012-05-03T17:49:27.0000|2012-06-27T21:57:25.0000
EM|MNG37|45.226002|-92.858002|298.2|Big Marine Lake, MN, USA|2011-10-10T18:13:05.0000|2011-10-31T16:20:08.0000
EM|MNG37|45.228|-92.858|300.2|Big Marine Lake, MN, USA|2012-04-28T18:54:16.0000|2012-06-04T14:50:34.0000
EM|MNH34|44.664|-95.75|327.3|Spellman Lake, MN, USA|2012-07-09T19:26:03.0000|2012-09-05T14:35:25.0000
EM|MNH35|44.594|-94.828|322.2|Bandon, MN, USA|2012-05-25T15:55:31.0000|2012-06-11T14:44:33.0000
EM|MNH36|44.623001|-93.860001|267.2|Minnesota River, MN, USA|2011-09-27T18:36:42.0000|2011-10-31T13:26:39.0000
EM|MNH36|44.623|-93.86|270.3|Minnesota River, MN, USA|2012-04-30T17:42:35.0000|2012-05-28T17:06:26.0000
EM|MNH37|44.671|-92.926|265.7|Vermillion River, MN, USA|2012-05-02T17:51:43.0000|2012-06-28T17:51:14.0000
EM|MNI34|43.973|-95.902|512.1|Beaver Creek, MN, USA|2012-07-10T18:08:14.0000|2012-07-23T18:32:43.0000
EM|MNI35|43.876|-95.027|422.2|Parso Lake, MN, USA|2012-05-06T15:16:26.0000|2012-05-25T19:18:55.0000
EM|MNI36|43.979|-94.044998|301.6|Maple River, MN, USA|2011-10-13T17:37:45.0000|2011-11-01T14:03:16.0000
EM|MNI36|43.979|-94.044|306.6|Maple River, MN, USA|2012-04-30T17:03:40.0000|2012-05-26T14:02:01.0000
EM|MNI37|44.112999|-93.439003|346.0|Moonan Marsh, MN, USA|2011-10-13T18:09:49.0000|2011-10-15T16:02:55.0000
EM|MNI37|44.113|-93.439|344.4|Moonan Marsh, MN, USA|2012-04-29T16:06:36.0000|2012-05-28T14:12:30.0000
EM|MNI38|43.923|-92.575|339.2|Zumbro River, MN, USA|2012-05-04T19:52:20.0000|2012-05-28T16:23:35.0000
EM|MNI39|43.848|-91.502|370.3|Pleasant Hill, MN, USA|2012-05-09T22:03:29.0000|2012-05-29T20:50:50.0000
EM|MOO36|40.244999|-95.232002|304.5|Squaw Creek, MO, USA|2013-06-25T18:15:38.0000|2013-07-21T18:36:02.0000
EM|MOO37|40.247002|-94.382004|287.8|Middle Fork Grand River, MO, USA|2013-06-02T18:07:38.0000|2013-07-12T19:37:53.0000
EM|MOO38|40.195|-93.483002|287.7|Honey Creek, MO, USA|2013-06-27T22:12:33.0000|2013-07-08T21:10:10.0000
EM|MOO39|40.158001|-92.661003|287.4|Thousand Hills, MO, USA|2013-06-03T16:24:51.0000|2013-06-26T15:07:26.0000
EM|MOO40|40.146|-91.830002|206.8|Fabius River, MO, USA|2013-06-26T21:22:33.0000|2013-07-07T15:39:16.0000
EM|MOP37|39.528999|-94.487999|263.4|Smithville Lake, MO, USA|2013-05-28T18:22:16.0000|2013-06-24T19:58:22.0000
EM|MOP38|39.588001|-93.627998|253.1|Bunch Hollow, MO, USA|2013-06-28T17:54:34.0000|2013-07-09T14:06:23.0000
EM|MOP39|39.528999|-92.679001|234.0|Thomas Hill, MO, USA|2013-07-08T17:22:42.0000|2013-07-18T19:02:05.0000
EM|MOP40|39.516998|-91.843002|203.4|Mark Twain Lake, MO, USA|2013-05-16T20:31:47.0000|2013-06-27T15:32:32.0000
EM|MOP41|39.478001|-91.186996|180.6|Sugar Creek, MO, USA|2013-07-04T17:24:04.0000|2013-07-11T14:02:24.0000
EM|MOQ38|38.922001|-93.852997|261.5|Long Branch Creek, MO, USA|2013-11-03T20:22:30.0000|2013-11-18T21:41:48.0000
EM|MOQ39|38.976002|-92.931999|221.0|Blackwater, MO, USA|2013-07-01T16:22:50.0000|2013-07-24T18:35:17.0000
EM|MOQ40|38.833|-92.174004|259.2|Stump Creek, MO, USA|2013-10-21T17:21:07.0000|2013-10-30T18:24:59.0000
EM|MOQ41|38.918999|-91.377998|252.4|Bear Creek, MO, USA|2013-06-27T21:37:05.0000|2013-07-24T14:39:37.0000
EM|MOR38|38.227001|-94.092003|292.1|Newberry Creek, MO, USA|2013-07-02T17:56:59.0000|2013-07-10T13:23:51.0000
EM|MOR39|38.165001|-93.140999|285.6|Wayne Hollow, MO, USA|2013-07-12T18:26:58.0000|2013-07-28T20:07:56.0000
EM|MOR40|38.109001|-92.584|260.7|Lake of the Ozarks, MO, USA|2013-06-28T18:54:55.0000|2013-07-30T13:50:29.0000
EM|MOR41|38.143002|-91.585999|265.1|Bourbeuse River, MO, USA|2013-10-19T16:58:20.0000|2013-11-12T19:36:00.0000
EM|MOR42|38.085999|-90.681|171.4|Thousand Hills, MO, USA|2013-07-04T17:35:04.0000|2013-07-27T19:07:51.0000
EM|MOS38|37.672001|-94.100998|267.9|Hicklin Creek, MO, USA|2013-07-08T17:40:44.0000|2013-07-28T16:42:40.0000
EM|MOS39|37.726002|-93.417|261.3|Pomme de Terre River, MO, USA|2013-07-13T18:54:02.0000|2013-07-29T16:29:54.0000
EM|MOS40|37.605|-92.400002|388.1|Walker Hollow, MO, USA|2013-10-20T17:54:15.0000|2013-11-05T15:23:23.0000
EM|MOS41|37.632999|-91.683998|360.8|Coon Den Hollow, MO, USA|2013-11-05T20:25:54.0000|2013-11-18T16:49:55.0000
EM|MOS42|37.585999|-90.964996|353.5|Little Brush Creek, MO, USA|2013-11-01T22:05:29.0000|2013-11-13T15:58:02.0000
EM|MOS43|37.479|-90.146|267.5|Walker Hollow, MO, USA|2014-05-31T19:18:32.0000|2014-06-20T16:11:46.0000
EM|MOT42|36.936|-91.059|275.1|Pike Creek, MO, USA|2014-05-29T15:36:36.0000|2014-06-20T20:20:46.0000
EM|MOT43|36.896|-90.295|143.4|Poplar Bluff, MO, USA|2014-05-30T20:27:43.0000|2014-06-21T14:56:17.0000
EM|MOT44|36.907|-89.557|98.2|Rotary Park, MO, USA|2014-08-12T17:16:50.0000|2014-08-23T21:02:08.0000
EM|MTB12|48.448002|-115.563004|763.4|Libby, MT, USA|2008-09-01T07:15:00.0000|2008-09-27T17:39:52.0000
